estacao1,estacao2,tempo,cor
Tucuruvi,Parada Inglesa,5,Azul
Parada Inglesa,Jardim São Paulo,4,Azul
Jardim São Paulo,Santana,4,Azul
Santana,Carandiru,3,Azul
Carandiru,Portuguesa,5,Azul
Portuguesa,Armênia,2,Azul
Armenia,Tiradentes,2,Azul
Tiradentes,Luz,2,Azul
Luz,São Bento,6,Azul
São Bento,Sé,1,Azul
Sé,Liberdade,2,Azul
Liberdade,São Joaquim,2,Azul
São Joaquim,Vergueiro,2,Azul
Vergueiro,Paraíso,2,Azul
Paraíso,Ana Rosa,1,Azul
Ana Rosa,Vila Mariana,2,Azul
Vila Mariana,Santa Cruz,2,Azul
Santa Cruz,Praça da Árvore,2,Azul
Praça da Árvore,Saúde,1,Azul
Saúde,São Judas,2,Azul
São Judas,Conceição,2,Azul
Conceição,Jabaquara,2,Azul
