estacao1,estacao2,tempo,cor
Capao Redondo,Campo Limpo,4,Lilas
Campo Limpo,Vila das Belezas,4,Lilas
Vila das Belezas,Giovanni Gronchi,4,Lilas
Giovanni Gronchi,Santo Amaro,5,Lilas
Santo Amaro,Largo Treze,3,Lilas
Largo Treze,Adolfo Pinheiro,3,Lilas
Adolfo Pinheiro,Alto da Boa Vista,3,Lilas
Alto da Boa Vista,Borba Gato,3,Lilas
Borba Gato,Brooklin,3,Lilas
Brooklin,Campo Belo,3,Lilas
Campo Belo,Eucaliptos,4,Lilas
Eucaliptos,Moema,3,Lilas
Moema,AACD - Servidor,4,Lilas
AACD - Servidor,Hospital Sao Paulo,3,Lilas
Hospital Sao Paulo,Santa Cruz,3,Lilas
Santa Cruz,Chacara Klabin,3,Lilas
