estacao1,estacao2,tempo,cor
Corinthians-Itaquera,Artur-Alvim,6,vermelha
Artur-Alvim,Patriarca-Vila-Re,7,vermelha
Patriarca-Vila-Re,Guilhermina-Esperanca,2,vermelha
Guilhermina-Esperanca,Vila-Matilde,2,vermelha
Vila-Matilde,Penha,2,vermelha
Penha,Carrao,7,vermelha
Carrao,Tatuape,7,vermelha
Tatuape,Belem,5,vermelha
Belem,Bresser-Mooca,3,vermelha
Bresser-Mooca,Bras,2,vermelha
Bras,Pedro-II,2,vermelha
Pedro-II,Se,2,vermelha
Se,Anhangabau,2,vermelha
Anhangabau,Republica,3,vermelha
Republica,Santa-Cecilia,2,vermelha
Santa-Cecilia,Marechal-Deodoro,2,vermelha
Marechal-Deodoro,Palmeiras-Barra-Funda,2,vermelha
