Linha;Estacao
1;Ana Rosa
1;Armênia
1;Carandiru
1;Conceição
1;Jabaquara
1;Jardim São Paulo – Ayrton Senna
1;Liberdade
1;Luz
1;Parada Inglesa
1;Paraíso
1;Portuguesa – Tietê
1;Praça da Árvore
1;Santa Cruz
1;Santana
1;São Bento
1;São Joaquim
1;São Judas
1;Saúde
1;Sé
1;Tiradentes
1;Tucuruvi
1;Vergueiro
1;Vila Mariana
2;Alto do Ipiranga
2;Ana Rosa
2;Brigadeiro
2;Chácara Klabin
2;Clínicas
2;Consolação
2;Paraíso
2;Sacomã
2;Santos – Imigrantes
2;Santuário N. Sra. de Fátima - Sumaré
2;Trianon MASP
2;Vila Madalena
2;Tamanduateí
2;Vila Prudente
3;Anhangabaú
3;Artur Alvim
3;Palmeiras – Barra Funda
3;Belém
3;Brás
3;Carrão
3;Corinthians – Itaquera
3;Guilhermina – Esperança
3;Marechal Deodoro
3;Bresser – Mooca
3;Patriarca
3;Pedro II
3;Penha
3;República
3;Santa Cecília
3;Sé
3;Tatuapé
3;Vila Matilde
4;Butantã
4;Faria Lima
4;Fradique Coutinho
4;Higienópolis - Mackenzie
4;Luz
4;Oscar Freire
4;Paulista
4;Pinheiros
4;República
4;São Paulo – Morumbi
4;Vila Sônia
5;AACD – Servidor
5;Adolfo Pinheiro
5;Alto da Boa Vista
5;Borba Gato
5;Brooklin
5;Campo Belo
5;Campo Limpo
5;Capão Redondo
5;Chácara Klabin
5;Eucaliptos
5;Giovanni Gronchi
5;Hospital São Paulo
5;Largo Treze
5;Moema
5;Santa Cruz
5;Santo Amaro
5;Vila Das Belezas
15;Vila Prudente
15;Oratório
15;São Lucas
15;Camilo Haddad
15;Vila Tolstói
15;Vila União
15;Jardim Planalto
15;Sapopemba
15;Fazenda da Juta
15;São Mateus
15;Jardim Colonial
