estacao1,estacao2,tempo,cor
18882,18881,5,blue
18881,18880,4,blue
18880,18879,4,blue
18879,18878,3,blue
18878,18877,5,blue
18877,18874,2,blue
18874,18873,2,blue
18873,18872,2,blue
18872,18870,6,blue
18870,18869,1,blue
18869,18868,2,blue
18868,18863,2,blue
18863,18862,2,blue
18862,18861,2,blue
18861,18860,1,blue
18860,18857,2,blue
18857,18856,2,blue
18856,18855,2,blue
18855,18854,1,blue
18854,18853,2,blue
18853,18851,2,blue
18851,18852,2,blue
18849,4406608,3,green
4406608,18848,4,green
18848,2600672,4,green
18850,18859,3,green
18859,18858,3,green
18858,18861,2,green
18861,18860,5,green
18860,9206443,2,green
9206443,2705944,2,green
2705944,3305180,2,green
3305180,3305845,2,green
3305845,18927,4,green
18927,9505541,5,green
18890,18888,6,red
18888,18887,7,red
18887,18886,2,red
18886,18885,2,red
18885,18884,2,red
18884,18883,7,red
18883,18944,7,red
18944,18876,5,red
18876,18875,3,red
18875,18987,2,red
18987,18871,2,red
18871,18869,2,red
18869,18867,2,red
18867,18866,3,red
18866,18865,2,red
18865,18864,2,red
18864,18920,2,red
18872,18866,2,yellow
18866,4406630,2,yellow
4406630,2600672,2,yellow
2600672,4406631,5,yellow
4406631,6311368,5,yellow
6311368,6311285,2,yellow
6311285,18966,2,yellow
18966,1211339,1,yellow
1211339,1211401,5,yellow
1211401,9607525,10,yellow
19045,19044,4,purple
19044,19043,4,purple
19043,19042,4,purple
19042,18906,5,purple
18906,19040,3,purple
19040,7206877,3,purple
7206877,7206943,3,purple
7206943,7206944,3,purple
7206944,7206945,3,purple
7206945,3407190,3,purple
3407190,5306691,4,purple
5306691,5306694,3,purple
5306694,5306695,4,purple
5306695,9206548,3,purple
9206548,18856,3,purple
18856,9206443,3,purple
9505541,7405493,3,silver
7405493,7405516,2,silver
7405516,7405517,5,silver
7405517,7405518,5,silver
7405518,7805208,3,silver
7805208,7805213,2,silver
7805213,7805219,3,silver
7805219,7805216,2,silver
7805216,7504827,2,silver
7504827,7504951,3,silver
18866,18866,2,black
2600672,18850,2,black
