source,target,path
18882,18881,"['18882', '18881']"
18882,18880,"['18882', '18881', '18880']"
18882,18879,"['18882', '18881', '18880', '18879']"
18882,18878,"['18882', '18881', '18880', '18879', '18878']"
18882,18877,"['18882', '18881', '18880', '18879', '18878', '18877']"
18882,18874,"['18882', '18881', '18880', '18879', '18878', '18877', '18874']"
18882,18873,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873']"
18882,18872,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872']"
18882,18870,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870']"
18882,18869,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869']"
18882,18868,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868']"
18882,18863,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863']"
18882,18862,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862']"
18882,18861,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861']"
18882,18860,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860']"
18882,18857,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857']"
18882,18856,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856']"
18882,18855,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855']"
18882,18854,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855', '18854']"
18882,18853,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855', '18854', '18853']"
18882,18851,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855', '18854', '18853', '18851']"
18882,18852,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855', '18854', '18853', '18851', '18852']"
18882,18849,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18848', '4406608', '18849']"
18882,4406608,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18848', '4406608']"
18882,18848,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18848']"
18882,2600672,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672']"
